,Quantile_auto_st_ff,Quantile_auto_st,Quantile_cons_st_ff,Quantile_cons_st,Quantile_auto_tt_ff,Quantile_auto_tt,Quantile_cons_tt_ff,Quantile_cons_tt,gmm_auto_st_ff,gmm_auto_st,gmm_cons_st_ff,gmm_cons_st,gmm_auto_tt_ff,gmm_auto_tt,gmm_cons_tt_ff,gmm_cons_tt,gmm_threshold_st_ff,gmm_threshold_st,gmm_threshold_tt_ff,gmm_threshold_tt,KBI,PUB,MeanDur_L,MeanDur_R,MeanDur_S,MeanIKI,MedianIKI,GMM_Threshold_LogIKI,gmm_iki_auto,gmm_iki_cons,Quantile_iki
gmm_cons_st_ff,0.49973164473666876,0.4993479867474612,0.47933989196095617,0.4920630778850082,0.4286314417649732,0.4901004501193959,0.42496964696900924,0.47323858518760975,0.632734403461055,0.5670992467300774,1.0,0.6244353992633531,0.4785457945794302,0.5213950967786108,0.41736447009143296,0.5546581378950995,0.6355426327101052,0.5914137430010544,0.4608212520598928,0.5572688417012751,0.08345767634233565,0.1327193477365873,0.08138596504301526,-0.047763134883426345,0.39550614700718695,0.08456656675326041,0.09594627754069249,0.08339063320645149,0.020775369893603884,0.2016777021427984,0.1508043854692323
gmm_cons_st,0.7116307262284585,0.7473621464187213,0.6875712956463881,0.7285692172205227,0.6433677467499157,0.7151107441958771,0.6258780762216308,0.6872462683205817,0.7281146831432728,0.8046371674628409,0.6244353992633531,1.0,0.6805846197216064,0.7372067714968007,0.5539352180678823,0.7504115609078479,0.7261792201088,0.8064090534554006,0.6356387287824671,0.7568589463435746,0.15289548062931013,0.2104534469037438,0.2043986114616329,-0.014957889355311988,0.5737427815989542,0.11894244062860627,0.17028666554289387,0.10932803402381104,-0.015891703162617253,0.17220553358004193,0.2743274414671049
gmm_auto_tt_ff,0.8278951445175645,0.858552318984343,0.7466424293711394,0.7966534232702154,0.888878123038803,0.893237458041174,0.8392736883355112,0.8595282177422795,0.8087372920053912,0.8457508880605864,0.4785457945794302,0.6805846197216064,1.0,0.9063684704543442,0.7765976132579874,0.8471379212384136,0.7580794912453637,0.8401688714967582,0.7979806768684302,0.878885213825461,0.2088443065582046,0.2316028821805623,0.31490995834562724,0.09233569141553685,0.6067086952038481,0.12036980653718266,0.235023986505396,0.145060938640233,-0.05125477684201636,0.17174396135246173,0.3420145430222327
gmm_auto_tt,0.8978759564576874,0.9161890830653024,0.7998022502737816,0.845017127340922,0.8601484768011853,0.9488484308740139,0.7997834999867717,0.8813372203950816,0.8800005150006399,0.9260270536701628,0.5213950967786108,0.7372067714968007,0.9063684704543442,1.0,0.6915926423645331,0.9233286530239305,0.8225473718864889,0.9117750977301057,0.7947006003010426,0.924580625855687,0.15697891762285823,0.20696315668043752,0.23498547914288934,-0.00837812529292667,0.6048148220855878,0.09508938562410447,0.1853906630956067,0.17566545510582668,-0.03280360611108973,0.16414504223301343,0.310957806202002
gmm_cons_tt_ff,0.5750661259476085,0.6181687396733869,0.5682679419058849,0.6032975397606164,0.6915153338215568,0.6663984988385747,0.7208099145465963,0.7141167009096477,0.5998421168374273,0.6155122098038671,0.41736447009143296,0.5539352180678823,0.7765976132579874,0.6915926423645331,1.0,0.7597676454004828,0.6177191496103984,0.6642869989482808,0.8227016768009036,0.7437534139441976,0.25379614787644567,0.26654023750332,0.33531675843377584,0.1505125729709574,0.6117238112801512,0.20328105432225854,0.2794298217460003,0.10932623342297657,-0.05777684695200936,0.22320593689775553,0.349894153139929
gmm_cons_tt,0.7971152443755295,0.8415877024363411,0.7462293107071036,0.798014055370703,0.8250197389946494,0.8744646420419009,0.8204490601804566,0.8914379232418196,0.7807103970897618,0.8290180842304349,0.5546581378950995,0.7504115609078479,0.8471379212384136,0.9233286530239305,0.7597676454004828,1.0,0.7713211522786425,0.853685052222655,0.8183306758490985,0.926178118542777,0.2123710668123194,0.23680995519987816,0.31970840365725967,0.05556050165721235,0.6671449957922465,0.12157755970034143,0.23552535343186454,0.12655694636926773,-0.03127642937909879,0.17211827179194408,0.3223561158768362
gmm_threshold_st_ff,0.8209364801046727,0.8097077164706837,0.7235206888533962,0.7369028861795881,0.6783318606754118,0.7934279698618657,0.6161410773246343,0.6970977026536667,0.8378171547261736,0.8462501957724993,0.6355426327101052,0.7261792201088,0.7580794912453637,0.8225473718864889,0.6177191496103984,0.7713211522786425,1.0,0.9007789538929567,0.7245252072392669,0.8349442137451089,0.12593488563848076,0.18184357715640073,0.14556796579373438,-0.04925108801831949,0.5257302871532962,0.13626502530917078,0.14752210189431317,0.1604892705408688,0.003191864160855686,0.2127342224390808,0.2762279288100156
gmm_threshold_st,0.8929041871354633,0.9085870741031565,0.7966603336328508,0.8412577118052629,0.7761452088519905,0.8848677998005355,0.7178681287294854,0.7939404625314126,0.881663943787314,0.9196434068008985,0.5914137430010544,0.8064090534554006,0.8401688714967582,0.9117750977301057,0.6642869989482808,0.853685052222655,0.9007789538929567,1.0,0.7832404222391013,0.9184365500616068,0.17096231446106303,0.236973525721552,0.20065268800090527,-0.031046437398176318,0.6084593018657529,0.15103015851327503,0.1962616840409855,0.15373588895913284,-0.022846514334151077,0.22174901526838572,0.32955787259641006
gmm_threshold_tt_ff,0.7112234526821732,0.7571136830224054,0.6005211601880092,0.6571440217337997,0.7818369809793423,0.7891712859695966,0.7401501344690298,0.7576613072930959,0.7116533472069078,0.7281173145332789,0.4608212520598928,0.6356387287824671,0.7979806768684302,0.7947006003010426,0.8227016768009036,0.8183306758490985,0.7245252072392669,0.7832404222391013,1.0,0.8563841842884277,0.23406608049310312,0.24541847157797095,0.2731349002395435,0.08900188427929785,0.5880053227701898,0.13073167279171632,0.260403223679145,0.10235619039042511,-0.0435031305155142,0.19441455582293812,0.34736861729712293
gmm_threshold_tt,0.8574499639713401,0.8867313478057054,0.7558770108189622,0.802642286984066,0.8536840552317918,0.924815233057489,0.8134739039297725,0.8761612769890944,0.8290428269264934,0.8670353338907651,0.5572688417012751,0.7568589463435746,0.878885213825461,0.924580625855687,0.7437534139441976,0.926178118542777,0.8349442137451089,0.9184365500616068,0.8563841842884277,1.0,0.2260676646593088,0.2542622286434544,0.2927216544583917,0.05216874614561716,0.6393550541466099,0.13060568131033157,0.24874514070389783,0.14715920706824376,-0.035614884635036995,0.19926237395358204,0.35748571951074776
