StudySession,LogKBI,LogPUB,GMM_Threshold_LogIKI,gmm_iki_auto,gmm_iki_cons,Quantile_iki
CET6-P18_T02,6.042632833682381,6.148468295917647,6.137967672789941,6.084414290944251,6.770965643319949,6.411818267709897
CET6-P21_T03,5.521460917862246,6.411818267709897,6.071071038302224,5.978745317899072,7.235435454389025,6.553933404025811
CET6-P18_T01,6.113682179832232,6.331501849893691,6.279574890803763,5.082762430177048,6.923899830586146,6.553933404025811
CET6-P01_T03,5.521460917862246,6.302618975744905,6.024724137924425,5.919346360080159,6.481068850436967,6.3578422665081
CET6-P05_T02,5.389071729816501,5.8805329864007,5.715138322564605,5.5845563603618436,6.148474238887342,6.07993319509559
CET6-P21_T01,5.384495062789089,6.461468176353717,5.96433407706057,5.7342371219459345,7.314962232476816,6.553933404025811
CET6-P05_T01,5.313205979041787,6.180016653652572,5.700682095158474,5.564413394716901,6.821632004448264,6.212606095751519
CET6-P18_T03,5.966146739123692,6.2422232654551655,6.0980033150842985,4.547568880609839,6.12853402883791,6.410174881966167
CET6-P03_T03,6.484635235635252,6.679599185844383,6.703203516683757,6.519753472002996,6.848536889283827,6.874198495453294
CET6-P01_T02,5.521460917862246,6.385194398997726,5.9857328170447595,5.733959177185354,6.617979904022134,6.436150368369428
CET6-P12_T03,6.07993319509559,6.461468176353717,6.629338640025099,4.136082513688026,6.8676763758807375,6.530877627725885
CET6-P05_T03,5.389071729816501,5.924255797414532,5.760894684558569,5.747041353980939,6.420137062402651,6.115892125483034
CET6-P02_T01,5.8377304471659395,6.07993319509559,6.038636791046436,5.977583582164534,6.555848990770464,6.461468176353717
CET6-P12_T02,6.182084906716632,6.597145701886651,0.008520531298845266,5.553267992632263,6.783959037450737,6.597145701886651
CET6-P12_T01,6.113682179832232,6.508769136971682,6.653004104151499,6.44080508061718,7.607439656523178,6.530877627725885
CET6-P03_T02,6.459904454377535,6.790097235513905,0.009266377569468763,0.014438295878273262,7.161195839316582,6.889591308354466
CET6-P19_T01,5.883322388488279,6.212606095751519,6.301709182250031,4.959294834969176,7.067989425335695,6.411818267709897
CET6-P02_T03,6.0063531596017325,6.274762021241939,6.190929211474497,6.169878599941121,6.698808547365777,6.530877627725885
CET6-P03_T01,6.411818267709897,6.7357800142423265,6.834039189443468,4.443455471315213,7.085084204705444,6.874198495453294
CET6-P06_T01,5.8377304471659395,6.331501849893691,5.864934496523809,4.015976727007129,6.584868575646844,6.436150368369428
CET6-P04_T01,5.231108616854587,6.042632833682381,5.6391584242592785,0.016360307153454653,5.520031079910492,6.003887067106539
CET6-P04_T03,5.313205979041787,5.840641657373398,5.489411205697263,0.020589545189282448,5.484559276692292,6.113682179832232
CET6-P13_T01,7.023758954738443,7.429520842786462,6.899888635680485,5.460907398678309,7.535782748698388,7.534762657037537
CET6-P07_T03,6.07993319509559,6.244166900663736,3.420918676121189,4.642212631767479,6.8877735439714005,6.530877627725885
CET6-P02_T02,6.115892125483034,6.461468176353717,6.251660934385195,5.758446759497885,6.8520571949101425,6.659293919683638
CET6-P10_T01,6.508769136971682,6.905753276311464,6.870796955619769,6.410410047214631,7.1138305950397225,6.93267159791332
CET6-P13_T03,7.037905963447182,7.3727463664043285,6.355403826956606,4.888635570414816,7.309571648759052,7.5652688208707755
CET6-P22_T02,6.331501849893691,6.410174881966167,6.200209896595849,4.79460618640914,6.842174666694087,6.754604099487962
CET6-P22_T01,6.461468176353717,6.617402977974478,5.415227948534387,5.774486136332332,6.299606625271418,6.841615476477592
CET6-P11_T02,6.148468295917647,6.618738983517219,6.398892721051713,0.010643956897954074,6.636158109884727,6.618738983517219
CET6-P16_T02,5.883322388488279,6.807934943699926,5.920850135392929,4.653198685314541,6.571137561734501,6.618738983517219
CET6-P10_T03,6.508769136971682,7.023758954738443,7.100331876429417,6.218978826471929,7.1655938291058625,6.9363427358340495
