StudySession,LogKBI,LogPUB,GMM_Threshold_LogIKI
CET6-P10_T02,6.698268054115413,7.1785454837637,6.836850474479604
CET6-P16_T03,5.793013608384144,6.905753276311464,6.007824356449562
CET6-P06_T03,5.579729825986222,6.272877006546167,6.028190954608965
CET6-P09_T01,5.583496308781699,7.077498053569231,6.294535976775422
CET6-P20_T03,6.07993319509559,6.921658184151129,6.393411732057665
CET6-P11_T01,6.272877006546167,6.617402977974478,6.500825130974466
CET6-P08_T01,6.148468295917647,6.981934677156389,6.39485450355839
CET6-P07_T02,5.966146739123692,6.508769136971682,5.7580412666136755
CET6-P19_T02,5.883322388488279,6.530877627725885,6.1079290311522865
CET6-P20_T01,5.966146739123692,6.638567789166521,6.127791222596706
CET6-P20_T02,6.0063531596017325,6.699500340161678,6.195839181408667
CET6-P09_T03,5.638354669333745,6.806829360392176,6.2865769756681855
CET6-P07_T01,6.07993319509559,6.302618975744905,3.5478874119151174
CET6-P14_T02,5.313205979041787,7.010311867307229,5.829575785691702
CET6-P14_T03,5.231108616854587,6.639875833826536,6.081880495817695
CET6-P01_T01,5.455321115357702,6.302618975744905,5.682483882900856
CET6-P06_T02,5.7899601708972535,6.274762021241939,6.060721539969643
CET6-P14_T01,5.236441962829949,6.716594773520978,5.768439488068045
CET6-P19_T03,5.966146739123692,6.359573868672378,6.450736426380564
CET6-P08_T03,6.148468295917647,7.177782416195197,6.498058391094906
HLR13-P02_T3,5.049856007249537,5.7430031878094825,5.6551903189456185
HLR13-P02_T2,5.049856007249537,6.244166900663736,5.446940378099271
HLR13-P02_T1,5.14166355650266,5.926926025970411,5.568011786946434
HLR13-P03_T1,5.147494476813453,5.579729825986222,5.429768585025792
HLR13-P03_T3,5.147494476813453,5.634789603169249,5.441867874920382
HLR13-P01_T3,5.049856007249537,6.618738983517219,5.563708222498676
HLR13-P03_T2,5.231108616854587,5.517452896464707,5.720513851016177
HLR13-P01_T1,4.948759890378168,6.411818267709897,5.666159550397362
HLR13-P01_T2,5.049856007249537,6.244166900663736,5.510729192731347
HLR13-P05_T2,5.517452896464707,6.436150368369428,6.87451869500514
HLR13-P05_T1,5.455321115357702,6.57507584059962,6.776853577691462
HLR13-P04_T1,5.14166355650266,5.7430031878094825,5.733666845215205
HLR13-P04_T2,5.049856007249537,5.793013608384144,6.374775124347717
HLR13-P05_T3,5.579729825986222,6.436150368369428,6.704710492961629
HLR13-P04_T3,5.049856007249537,5.638354669333745,6.11371383661186
KTHJ08-P17_T2,4.820281565605037,5.3471075307174685,5.520960904952171
KTHJ08-P14_T1,4.852030263919617,5.313205979041787,5.215905239321775
KTHJ08-P05_T3,5.247024072160486,5.8998973535824915,5.411744532725269
KTHJ08-P11_T3,4.927253685157205,5.181783550292085,5.156502275566069
KTHJ08-P23_T1,5.043425116919247,5.393627546352362,5.5634548212463875
KTHJ08-P10_T2,5.043425116919247,5.298317366548036,5.356586133919421
KTHJ08-P11_T2,4.948759890378168,5.2574953720277815,5.337193474074683
KTHJ08-P13_T1,4.955827057601261,5.081404364984463,5.077388547098435
KTHJ08-P02_T3,4.897839799950911,5.973809611869261,5.509672776581956
